5000 vertices, 7500 edges
2159: 2850 4866 4418 
2160: 494 3229 4633 
2161: 917 2478 3087 
2162: 2231 2482 3396 
2163: 2608 4708 4106 
2164: 494 838 2360 
2165: 678 4500 2303 
2166: 429 1062 2910 
2167: 1233 2666 4419 
2168: 4341 2414 2972 
2169: 1272 3992 3869 
2170: 104 749 1198 
2171: 1092 1556 3032 
2172: 609 2880 2362 
2173: 1367 1848 3420 
2174: 2525 3884 4499 
2175: 1088 4258 2613 
2176: 1033 1720 4827 
2177: 3447 2845 4117 
2178: 666 2009 4700 
2179: 1834 4821 4211 
2180: 1369 1940 2086 
2181: 2270 2536 3146 
2182: 3226 4935 4745 
2183: 520 545 4127 
2184: 4219 2766 3237 
2185: 586 1494 3361 
2186: 1938 4629 4179 
2187: 1405 1681 4495 
2188: 3292 4398 4417 
2189: 1433 2032 4680 
2190: 2621 3918 3348 
2191: 4178 2199 2197 
2192: 913 1079 2019 
2193: 1172 2646 4608 
2194: 1741 2111 3171 
2195: 182 190 3119 
2196: 2956 4016 4533 
2197: 949 2191 3538 
2198: 1150 2528 3488 
2199: 726 2191 2244 
2200: 4997 2918 2797 
2201: 1169 3147 3286 
2202: 986 1617 2580 
2203: 285 630 4662 
2204: 440 2759 4500 
2205: 441 1350 1375 
2206: 861 1179 3275 
2207: 1543 1853 1961 
2208: 875 1002 3736 
2209: 148 1973 4979 
2210: 3238 4820 3869 
2211: 503 766 1443 
2212: 4354 4796 3078 
2213: 4528 2438 2401 
2214: 1456 1685 1796 
2215: 2015 4212 2716 
2216: 922 1824 4386 
2217: 980 1089 1813 
2218: 702 1598 4494 
2219: 158 4513 2760 
2220: 128 4150 4999 
2221: 2407 2468 2269 
2222: 3954 4913 4932 
2223: 2157 4736 3948 
2224: 1952 3998 4313 
2225: 477 1772 3831 
2226: 5 212 4401 
2227: 1419 1548 3396 
2228: 4734 2781 4065 
2229: 2120 3627 3394 
2230: 585 3403 3814 
2231: 2162 3357 2809 
2232: 3884 3169 3832 
2233: 513 1031 1863 
2234: 1260 3362 4316 
2235: 1450 3741 3802 
2236: 1416 2526 2651 
2237: 4565 2844 4496 
2238: 3941 2517 3785 
2239: 837 4727 4005 
2240: 1973 2896 4208 
2241: 551 1110 3223 
2242: 735 4572 3479 
2243: 3791 4142 3167 
2244: 467 614 2199 
2245: 868 1607 2046 
2246: 603 2508 3481 
2247: 306 561 810 
2248: 505 3220 2272 
2249: 3197 2937 2300 
2250: 112 3940 2411 
2251: 756 4743 2886 
2252: 1173 3937 2884 
2253: 3031 4562 2646 
2254: 1467 2854 2577 
2255: 1606 4736 3723 
2256: 1240 1855 1994 
2257: 550 736 1352 
2258: 1793 1916 4893 
2259: 1740 2043 4424 
2260: 1271 1353 1643 
2261: 2111 3743 2631 
2262: 265 1475 3019 
2263: 4160 2381 3541 
2264: 2447 2674 4551 
2265: 620 1952 2103 
2266: 3735 4587 3740 
2267: 584 4044 3397 
2268: 3474 3609 4547 
2269: 376 613 2221 
2270: 2181 3417 3580 
2271: 80 1531 2769 
2272: 1368 1881 2248 
2273: 4559 4522 2648 
2274: 173 873 1313 
2275: 585 3022 2937 
2276: 629 4036 2507 
2277: 139 564 912 
2278: 436 588 1236 
2279: 4558 3385 4854 
2280: 2490 3737 3418 
2281: 2416 3473 4237 
2282: 553 1787 4069 
2283: 3072 2817 4100 
2284: 971 1770 2752 
2285: 4193 3027 3666 
2286: 2155 3905 4866 
2287: 347 431 1822 
2288: 1156 2505 3188 
2289: 993 3587 3648 
2290: 816 4712 2755 
2291: 1206 2547 2527 
2292: 4480 3456 3006 
2293: 943 4516 4193 
2294: 290 927 1893 
2295: 107 1994 3600 
2296: 468 4180 2966 
2297: 1283 4553 4316 
2298: 64 1115 4819 
2299: 154 340 1112 
2300: 2249 3559 2592 
2301: 1565 1609 1848 
2302: 374 967 1056 
2303: 1369 1710 2165 
2304: 1289 1950 2849 
2305: 136 1058 1720 
2306: 3819 2899 4577 
2307: 258 606 3532 
2308: 238 612 1424 
2309: 423 1526 3757 
2310: 608 2092 3976 
2311: 86 127 740 
2312: 514 647 1622 
2313: 4207 2786 4898 
2314: 649 905 4816 
2315: 526 3788 4233 
2316: 4196 3610 4842 
2317: 4679 2740 4170 
2318: 1209 4154 2445 
2319: 3517 3544 4068 
2320: 1546 4915 2526 
2321: 979 1696 3950 
2322: 4270 2345 4969 
2323: 363 2655 4591 
2324: 1029 1683 1698 
2325: 179 207 657 
2326: 398 852 4744 
2327: 892 1654 4052 
2328: 1717 1838 1972 
2329: 763 3940 2879 
2330: 487 2512 2863 
2331: 1373 3805 4895 
2332: 5 278 4070 
2333: 1307 2962 4905 
2334: 1234 4049 2391 
2335: 107 898 1048 
2336: 2910 4837 2663 
2337: 768 1970 3519 
2338: 1624 2035 4313 
2339: 3976 4416 3218 
2340: 688 1432 1914 
2341: 559 657 1258 
2342: 2770 2410 3072 
2343: 205 863 1402 
2344: 4085 2847 3746 
2345: 2322 4710 3540 
2346: 4509 3891 3163 
2347: 4175 4645 4396 
2348: 1586 3800 4970 
2349: 766 1055 3611 
2350: 1103 1341 3215 
2351: 588 4299 4636 
2352: 284 4646 4102 
2353: 675 4573 3713 
2354: 2959 2890 4423 
2355: 2495 4985 3483 
2356: 2601 4353 3897 
2357: 1839 4060 3167 
2358: 542 1375 1804 
2359: 1127 4252 2920 
2360: 2126 2164 4971 
2361: 547 1171 1556 
2362: 1514 2172 3730 
2363: 130 1290 1589 
2364: 815 1354 3174 
2365: 498 1153 1958 
2366: 4392 4568 2647 
2367: 2479 2545 4102 
2368: 3554 3929 4304 
2369: 2478 2680 2574 
2370: 1343 1649 3689 
2371: 726 1004 4482 
2372: 798 4647 3731 
2373: 4759 4945 4797 
2374: 1335 3654 4835 
2375: 896 1009 2754 
2376: 549 1643 3563 
2377: 334 2511 3662 
2378: 569 3151 2868 
2379: 52 2982 3046 
2380: 3578 4942 3748 
2381: 2078 2263 4677 
2382: 4073 4028 4335 
2383: 403 4888 4060 
2384: 559 1102 3075 
2385: 1214 1625 3764 
2386: 1735 3601 3902 
2387: 884 1979 4242 
2388: 2553 3654 4950 
2389: 427 4303 2520 
2390: 1348 4313 3546 
2391: 343 2334 3589 
2392: 2404 2790 3822 
2393: 1201 4363 4355 
2394: 10 1296 2076 
2395: 2029 3320 2612 
2396: 3963 4157 4098 
2397: 152 3908 3504 
2398: 121 1361 1666 
2399: 2893 4094 4574 
2400: 4942 3217 3100 
2401: 1889 2213 3468 
2402: 895 3351 4598 
2403: 2516 2557 2598 
2404: 1293 2392 3300 
2405: 353 4722 2749 
2406: 257 639 4767 
2407: 1824 2221 2938 
2408: 1667 4407 4344 
2409: 627 863 905 
2410: 2342 2799 2857 
2411: 1465 1861 2250 
2412: 194 1463 1854 
2413: 3086 2594 3779 
2414: 2168 4980 3275 
2415: 55 324 453 
2416: 727 2281 4846 
2417: 259 4776 4336 
2418: 351 3809 4421 
2419: 394 2868 2770 
2420: 1948 3684 4635 
2421: 1231 2001 3406 
2422: 2106 3665 2445 
2423: 1163 4901 3385 
2424: 198 700 752 
2425: 1168 3130 4977 
2426: 3714 2791 3121 
2427: 574 2944 4896 
2428: 323 1716 2783 
2429: 4615 4802 3529 
2430: 485 1319 2565 
2431: 4222 3922 4225 
2432: 3909 3120 3111 
2433: 582 651 1394 
2434: 341 905 2827 
2435: 2501 2921 4233 
2436: 1105 3592 4477 
2437: 1617 4038 2975 
2438: 2213 3429 4625 
2439: 1785 3029 3013 
2440: 759 3178 3030 
2441: 3541 3698 4540 
2442: 2619 2832 3469 
2443: 3870 3874 2881 
2444: 1345 1876 2903 
2445: 463 2318 2422 
2446: 4935 3045 3737 
2447: 2264 2524 2834 
2448: 3991 3289 4414 
2449: 453 986 1771 
2450: 4875 2673 4471 
2451: 605 4098 2994 
2452: 1138 1301 1440 
2453: 4977 3952 3486 
2454: 4087 2784 4843 
2455: 2650 4902 4169 
2456: 98 2135 2945 
2457: 1012 1167 3373 
2458: 4026 2765 2622 
2459: 683 762 3395 
2460: 2756 2956 3016 
2461: 687 1343 1687 
2462: 1524 1871 3486 
2463: 385 1980 3612 
2464: 5 392 4256 
2465: 1283 1757 3036 
2466: 1311 2604 4691 
2467: 338 4459 2869 
2468: 2221 3799 3651 
2469: 84 331 1251 
2470: 4358 3368 4036 
2471: 171 629 3582 
2472: 1917 2083 3297 
2473: 516 3276 3430 
2474: 87 626 3008 
2475: 1243 1536 4712 
2476: 4685 3856 3879 
2477: 1369 1967 4798 
2478: 2161 2369 2561 
2479: 2367 4128 2731 
2480: 1746 1782 2129 
2481: 716 4505 2927 
2482: 2162 2687 4809 
2483: 3158 3794 4278 
2484: 4750 4248 4840 
2485: 353 553 3628 
2486: 526 1641 3039 
2487: 788 1996 3511 
2488: 168 4495 4651 
2489: 293 3057 4601 
2490: 2100 2280 4263 
2491: 803 4101 3428 
2492: 589 819 1731 
2493: 1432 2800 4888 
2494: 362 1942 1974 
2495: 370 969 2355 
2496: 1005 2687 3623 
2497: 4358 3437 4815 
2498: 2928 4537 2919 
2499: 1645 2569 4372 
2500: 770 1666 1690 
2501: 2435 2740 4376 
2502: 1471 1956 1966 
2503: 4400 3467 3985 
2504: 2680 4486 4699 
2505: 2288 2681 2991 
2506: 292 1239 2077 
2507: 1395 2276 3768 
2508: 1574 2246 4075 
2509: 117 1028 1085 
2510: 1082 4570 4003 
2511: 1540 1832 2377 
2512: 73 746 2330 
2513: 1660 4502 3045 
2514: 4972 3157 2789 
2515: 4256 4763 2715 
2516: 1221 2403 4222 
2517: 2238 2554 3619 
2518: 413 4352 3127 
2519: 3979 3761 4380 
2520: 1719 2389 4181 
2521: 1477 3558 3646 
2522: 1991 4611 3098 
2523: 4946 3677 4348 
2524: 2447 4408 3932 
2525: 68 2174 4266 
2526: 2236 2320 3142 
2527: 2291 2671 4201 
2528: 541 1981 2198 
2529: 21 737 2661 
2530: 1151 2909 2543 
2531: 4698 2923 4308 
2532: 937 2693 3356 
2533: 1513 1780 2005 
2534: 25 357 818 
2535: 4136 4460 3400 
2536: 1998 2181 2596 
2537: 3308 2805 4529 
2538: 80 2112 4868 
2539: 1014 2059 2873 
2540: 1963 1990 4673 
2541: 2698 3945 4618 
2542: 259 4000 4496 
2543: 2530 3752 3134 
2544: 155 3600 3177 
2545: 1205 2367 3451 
2546: 217 659 1960 
2547: 1797 2291 2733 
2548: 649 1802 3787 
2549: 603 962 2091 
2550: 4123 3098 4208 
2551: 110 1763 2939 
2552: 1270 1506 1934 
2553: 2388 3238 4258 
2554: 2517 4608 3998 
2555: 578 3480 4794 
2556: 1269 4371 4732 
2557: 1113 2403 4475 
2558: 343 402 1021 
2559: 1359 4406 4277 
2560: 904 1068 3062 
2561: 2478 3873 2872 
2562: 1043 1133 1243 
2563: 4674 4264 3217 
2564: 1778 2028 3999 
2565: 38 1467 2430 
2566: 1647 3611 3596 
2567: 1374 4299 3746 
2568: 1714 4081 3327 
2569: 2499 3739 2696 
2570: 4601 2672 4293 
2571: 103 206 363 
2572: 707 1452 1791 
2573: 1587 2052 2068 
2574: 1042 1772 2369 
2575: 1561 2619 4783 
2576: 3884 2826 3709 
2577: 162 2254 3728 
2578: 554 1903 4277 
2579: 43 1388 3139 
2580: 1003 2202 4780 
2581: 952 4414 4898 
2582: 1004 4745 3149 
2583: 2635 4663 3362 
2584: 972 1607 1901 
2585: 637 4062 3013 
2586: 1279 1700 3796 
2587: 192 555 2103 
2588: 1146 4567 4543 
2589: 2046 3849 4422 
2590: 2791 2781 3850 
2591: 669 1336 1424 
2592: 450 1839 2300 
2593: 16 1469 2026 
2594: 19 33 2413 
2595: 1227 1398 2624 
2596: 288 961 2536 
2597: 883 2653 3840 
2598: 336 2403 4718 
2599: 970 1235 3696 
2600: 971 1258 4854 
2601: 1760 1896 2356 
2602: 1947 3101 4520 
2603: 3188 3955 2899 
2604: 1230 2466 4687 
2605: 1054 1913 2654 
2606: 259 3813 2680 
2607: 136 1193 2134 
2608: 1067 1276 2163 
2609: 243 1219 1578 
2610: 573 1206 2135 
2611: 369 1261 4092 
2612: 1464 2395 4157 
2613: 1959 2175 3740 
2614: 398 2742 4598 
2615: 229 3943 4719 
2616: 3520 3881 4284 
2617: 1635 4729 4063 
2618: 737 1020 1267 
2619: 1381 2442 2575 
2620: 938 2045 2875 
2621: 223 550 2190 
2622: 2458 3162 4941 
2623: 3682 4827 2898 
2624: 2595 3520 2747 
2625: 3089 4093 4223 
2626: 380 1402 3210 
2627: 4367 3281 2670 
2628: 804 4750 4191 
2629: 633 2139 4375 
2630: 1817 2865 4930 
2631: 419 2261 3331 
2632: 4066 4083 3974 
2633: 1036 4246 4448 
2634: 124 428 4918 
2635: 855 2583 4474 
2636: 408 1312 1627 
2637: 167 1336 2822 
2638: 1922 4382 3705 
2639: 804 1576 1692 
2640: 1777 2969 4279 
2641: 1344 1421 1503 
2642: 1090 1295 1455 
2643: 3305 3423 3974 
2644: 1865 3391 4032 
2645: 1927 2128 4240 
2646: 795 2193 2253 
2647: 2366 3986 4478 
2648: 391 1613 2273 
2649: 945 4978 3461 
2650: 271 1930 2455 
2651: 2236 4516 3091 
2652: 1851 1885 3284 
2653: 2109 2597 3167 
2654: 562 2605 4292 
2655: 2323 3298 2919 
2656: 1080 1268 1426 
2657: 93 1187 2838 
2658: 4239 4123 4367 
2659: 281 1064 1784 
2660: 384 396 519 
2661: 2529 4309 4851 
2662: 1594 3178 2934 
2663: 1776 2336 3058 
2664: 213 1015 3165 
2665: 613 1200 3495 
2666: 2167 2850 4807 
2667: 4399 3180 2731 
2668: 2915 3496 4443 
2669: 409 1523 1542 
2670: 2627 4270 2837 
2671: 143 522 2527 
2672: 2570 4094 4461 
2673: 725 1041 2450 
2674: 984 2264 4579 
2675: 251 2785 2720 
2676: 3405 4907 4560 
2677: 1122 1163 3875 
2678: 3946 4569 3423 
2679: 997 4530 3989 
2680: 2369 2504 2606 
2681: 122 2505 4735 
2682: 680 1039 1231 
2683: 4739 2940 3069 
2684: 51 426 3721 
2685: 1859 3333 4109 
2686: 3779 2862 3398 
2687: 2482 2496 3904 
2688: 728 1988 3298 
2689: 829 1263 3426 
2690: 1738 4516 4515 
2691: 282 972 3903 
2692: 43 664 703 
2693: 823 1830 2532 
2694: 1487 1780 2009 
2695: 4166 2780 4895 
2696: 533 1444 2569 
2697: 753 878 2018 
2698: 1712 2541 2949 
2699: 4703 3123 3130 
2700: 883 1115 1617 
2701: 116 233 1271 
2702: 2785 2764 3110 
2703: 806 1459 4037 
2704: 707 934 3694 
2705: 2029 3208 3491 
2706: 901 1682 2056 
2707: 1245 4355 4663 
2708: 1693 1924 1963 
2709: 1489 4848 3463 
2710: 1620 4713 4632 
2711: 116 555 4006 
2712: 3727 3473 3461 
2713: 4676 3258 4521 
2714: 1110 1599 4996 
2715: 2515 4474 4355 
2716: 696 955 2215 
2717: 693 1606 4184 
2718: 1558 4083 4373 
2719: 755 1198 3300 
2720: 953 2675 3027 
2721: 3877 4411 3915 
2722: 1555 4545 3554 
2723: 4799 3050 4321 
2724: 304 3341 2988 
2725: 556 1222 1576 
2726: 3914 3042 4086 
2727: 865 1568 1708 
2728: 474 929 4431 
2729: 1539 3228 4857 
2730: 1370 1389 3646 
2731: 2479 2667 3104 
2732: 1577 1933 4733 
2733: 2547 4706 3285 
2734: 626 3938 2859 
2735: 3365 3238 4418 
2736: 1483 3433 4157 
2737: 257 751 4291 
2738: 1330 1727 2110 
2739: 4032 3404 4720 
2740: 1436 2317 2501 
2741: 1141 1242 4715 
2742: 732 1546 2614 
2743: 163 4997 4362 
2744: 3073 4630 4522 
2745: 226 1733 3808 
2746: 1976 3169 3393 
2747: 458 1724 2624 
2748: 1810 4360 3988 
2749: 2405 4624 4153 
2750: 1034 1885 4040 
2751: 4085 4173 3233 
2752: 2284 3669 4658 
2753: 1439 4781 3503 
2754: 1416 1793 2375 
2755: 968 2290 3111 
2756: 1767 2460 3191 
2757: 638 3505 4131 
2758: 421 1306 2097 
2759: 1946 2204 3072 
2760: 2219 2788 3308 
2761: 2109 3096 3989 
2762: 958 1667 3745 
2763: 3759 2784 3658 
2764: 1478 2702 2878 
2765: 208 1774 2458 
2766: 331 1749 2184 
2767: 4714 4587 2898 
2768: 1189 1436 4565 
2769: 1852 2271 2867 
2770: 2342 2419 4090 
2771: 745 1105 1524 
2772: 3732 4649 3838 
2773: 616 1751 4136 
2774: 1316 2928 3981 
2775: 510 1935 4604 
2776: 650 1256 1562 
2777: 4866 3293 3048 
2778: 1686 4384 4882 
2779: 1137 1239 1934 
2780: 1194 1945 2695 
2781: 2228 2590 4494 
2782: 3395 4301 2852 
2783: 194 1782 2428 
2784: 2454 2763 4217 
2785: 2675 2702 3951 
2786: 736 2313 3120 
2787: 311 1567 1792 
2788: 2760 4568 4757 
2789: 2514 4214 2912 
2790: 1655 1730 2392 
2791: 1284 2426 2590 
2792: 1084 3788 3942 
2793: 164 1778 1923 
2794: 240 4717 3338 
2795: 474 1068 1439 
2796: 4993 3309 3284 
2797: 282 1451 2200 
2798: 708 3815 3760 
2799: 1766 2410 4101 
2800: 1630 2493 3710 
2801: 1343 4989 4998 
2802: 338 4253 4251 
2803: 842 2831 3607 
2804: 393 1001 2856 
2805: 2537 3009 4937 
2806: 383 1023 1348 
2807: 839 2908 3522 
2808: 922 3010 2992 
2809: 902 1625 2231 
2810: 1101 1812 2082 
2811: 4599 3306 3938 
2812: 508 984 2001 
2813: 228 1756 1818 
2814: 116 532 558 
2815: 3284 4085 4184 
2816: 3092 3210 4204 
2817: 1573 2283 3796 
2818: 78 456 1401 
2819: 153 525 3721 
2820: 319 3263 4581 
2821: 3757 3138 4370 
2822: 12 2637 4209 
2823: 184 577 1063 
2824: 1472 3213 3387 
2825: 125 1067 1657 
2826: 2576 3537 4848 
2827: 2434 4501 4572 
2828: 4561 4612 3906 
2829: 550 1000 3484 
2830: 598 3926 4021 
2831: 1641 2803 4902 
2832: 2442 4774 4106 
2833: 354 451 493 
2834: 91 432 2447 
2835: 2052 3450 3990 
2836: 85 1834 3121 
2837: 928 2670 2850 
2838: 399 713 2657 
2839: 4200 2869 3880 
2840: 3429 3374 4041 
2841: 3923 3524 4510 
2842: 801 1259 1801 
2843: 481 1773 4268 
2844: 2237 3021 3778 
2845: 359 1562 2177 
2846: 675 1078 2079 
2847: 2344 4143 3298 
2848: 2016 3453 3871 
2849: 1833 2304 4649 
2850: 2159 2666 2837 
2851: 770 1392 2909 
2852: 2782 2935 4349 
2853: 3570 4873 4767 
2854: 2254 3927 4502 
2855: 0 1596 3024 
2856: 2804 4180 2976 
2857: 1545 2410 4607 
2858: 1152 3241 4723 
2859: 204 907 2734 
2860: 921 1634 4376 
2861: 2961 3635 4726 
2862: 1358 2686 2991 
2863: 2111 2330 4466 
2864: 3191 4404 3063 
2865: 405 819 2630 
2866: 4594 4067 4051 
2867: 2090 2769 4341 
2868: 1355 2378 2419 
2869: 1878 2467 2839 
2870: 90 2041 3592 
2871: 4234 4826 4479 
2872: 2561 4613 4386 
2873: 923 2539 4887 
2874: 14 1378 1478 
2875: 100 1660 2620 
2876: 1368 2888 4426 
2877: 409 1406 1439 
2878: 177 673 2764 
2879: 422 505 2329 
2880: 978 2031 2172 
2881: 713 1146 2443 
2882: 19 569 1302 
2883: 95 3978 4610 
2884: 179 2252 3561 
2885: 594 1687 3862 
2886: 742 2251 4091 
2887: 4562 3755 4030 
2888: 2876 2924 4579 
2889: 1521 1953 3738 
2890: 565 2354 4864 
2891: 4597 4950 3897 
2892: 607 1390 1981 
2893: 227 2036 2399 
2894: 1363 2078 4056 
2895: 26 241 1227 
2896: 830 1078 2240 
2897: 2047 3177 2972 
2898: 1969 2623 2767 
2899: 2306 2603 4024 
2900: 779 3500 4663 
2901: 437 1674 2081 
2902: 988 4455 4879 
2903: 231 302 2444 
2904: 1333 3317 4119 
2905: 443 1684 3899 
2906: 759 797 2004 
2907: 759 1086 1972 
2908: 739 1630 2807 
2909: 2530 2851 3463 
2910: 2166 2336 3806 
2911: 42 1936 4163 
2912: 708 962 2789 
2913: 1513 1774 3181 
2914: 1001 3763 4864 
2915: 2668 4746 3941 
2916: 846 1008 1066 
2917: 274 931 2115 
2918: 372 815 2200 
2919: 2498 2655 4408 
2920: 2359 4333 2958 
2921: 2104 2435 3416 
2922: 1799 1904 3617 
2923: 2531 4024 3154 
2924: 2888 4497 4674 
2925: 1174 1732 4440 
2926: 3102 3672 4920 
2927: 940 2481 4930 
2928: 1014 2498 2774 
2929: 396 1642 4872 
2930: 3768 3554 3459 
2931: 1090 1172 3968 
2932: 635 1984 3136 
2933: 3797 2967 2963 
2934: 768 1574 2662 
2935: 309 2852 4747 
2936: 4768 4480 3253 
2937: 1223 2249 2275 
2938: 232 1317 2407 
2939: 2551 4853 3147 
2940: 2079 2683 3114 
2941: 4984 3037 3438 
2942: 623 4187 3922 
2943: 670 1438 4056 
2944: 99 2427 3741 
2945: 1651 2456 3331 
2946: 4175 3702 3723 
2947: 307 3294 4311 
2948: 1909 3704 4334 
2949: 1963 2106 2698 
2950: 1252 1528 1796 
2951: 4497 4594 4846 
2952: 195 1391 4097 
2953: 166 1022 1278 
2954: 3412 4581 4491 
2955: 4897 2989 3467 
2956: 2196 2460 4848 
2957: 86 287 417 
2958: 371 973 2920 
2959: 682 1656 2354 
2960: 1476 2022 4696 
2961: 1663 1750 2861 
2962: 2333 4933 3879 
2963: 1445 1931 2933 
2964: 489 1803 3626 
2965: 537 3290 4532 
2966: 1662 2296 3968 
2967: 300 2933 3408 
2968: 4541 4574 3883 
2969: 2640 4344 4195 
2970: 228 445 1840 
2971: 429 1387 4059 
2972: 888 2168 2897 
2973: 99 387 4901 
2974: 83 686 726 
2975: 2437 4290 3086 
2976: 1572 2046 2856 
2977: 1222 4861 4867 
2978: 431 1892 1932 
2979: 1211 3661 3945 
2980: 3185 4850 4647 
2981: 457 1506 3924 
2982: 2379 3785 4416 
2983: 2080 4616 4585 
2984: 947 1622 1813 
2985: 1134 1350 1877 
2986: 4708 3760 4922 
2987: 446 1049 1300 
2988: 748 2724 4066 
2989: 2955 4785 3840 
2990: 129 1244 1429 
2991: 1389 2505 2862 
2992: 1743 1865 2808 
2993: 297 811 3597 
2994: 2110 2451 3318 
2995: 313 315 655 
2996: 1053 1102 1463 
2997: 510 1967 4802 
2998: 147 1096 1695 
2999: 4165 4076 4496 
3000: 1077 1209 4711 
3001: 76 3279 4189 
3002: 1157 2082 4807 
3003: 13 4521 3065 
3004: 720 1366 4698 
3005: 911 3446 4498 
3006: 2292 3216 3441 
3007: 96 4076 4270 
3008: 2474 3574 3244 
3009: 2805 3983 4946 
3010: 2808 3467 4976 
3011: 3084 3606 3317 
3012: 1578 4458 3123 
3013: 215 2439 2585 
3014: 63 848 1295 
3015: 1144 4937 4980 
3016: 402 2460 4948 
3017: 70 321 1029 
3018: 981 1300 4391 
3019: 1482 1720 2262 
3020: 218 1785 3504 
3021: 2844 3153 4482 
3022: 197 723 2275 
3023: 1579 1717 3542 
3024: 181 2855 3848 
3025: 405 730 4293 
3026: 1045 4440 3979 
3027: 1498 2285 2720 
3028: 1098 1507 1517 
3029: 2439 3728 3080 
3030: 1181 1888 2440 
3031: 455 2253 4656 
3032: 410 729 2171 
3033: 4704 4244 4538 
3034: 352 4175 3519 
3035: 4092 3631 3708 
3036: 831 2465 3992 
3037: 90 2941 4474 
3038: 735 884 4619 
3039: 1039 2486 4748 
3040: 1089 3758 3438 
3041: 1043 1675 1988 
3042: 1107 2726 3752 
3043: 1697 3497 3800 
3044: 901 2042 3326 
3045: 418 2446 2513 
3046: 523 1879 2379 
3047: 656 1010 2040 
3048: 2095 2777 4205 
3049: 884 1419 1582 
3050: 1095 1281 2723 
3051: 469 1401 1668 
3052: 501 1011 3802 
3053: 224 1568 4290 
3054: 1139 3590 4061 
3055: 120 778 2026 
3056: 193 307 754 
3057: 707 2489 3512 
3058: 1726 2663 3287 
3059: 1258 4455 3245 
3060: 669 1001 1680 
3061: 1996 4623 4495 
3062: 2560 4800 4739 
3063: 2033 2864 3065 
3064: 254 721 840 
3065: 3003 3063 3114 
3066: 4576 4298 4806 
3067: 12 566 1775 
3068: 891 1487 3377 
3069: 1562 2683 3569 
3070: 1158 1322 1600 
3071: 774 3699 3429 
3072: 2283 2342 2759 
3073: 1401 2744 4920 
3074: 1050 1505 1639 
3075: 50 2072 2384 
3076: 1118 4335 4254 
3077: 382 1755 4432 
3078: 2141 2212 4814 
3079: 3266 4248 4590 
3080: 631 1269 3029 
3081: 22 807 1494 
3082: 417 1025 3264 
3083: 1073 4851 3824 
3084: 1983 2105 3011 
3085: 56 918 1428 
3086: 965 2413 2975 
3087: 1099 1852 2161 
3088: 154 4149 3681 
3089: 2625 4877 4553 
3090: 958 2059 4631 
3091: 747 2651 3709 
3092: 2816 4345 3843 
3093: 4681 4965 3292 
3094: 1481 1547 3109 
3095: 1329 4738 3583 
3096: 785 2761 3957 
3097: 608 4541 4832 
3098: 1770 2522 2550 
3099: 3261 4381 4788 
3100: 1674 1807 2400 
3101: 778 2602 3719 
3102: 125 1908 2926 
3103: 196 1455 1879 
3104: 2731 4405 4133 
3105: 4750 3417 4668 
3106: 4531 3354 3193 
3107: 4984 3883 3909 
3108: 394 1116 1929 
3109: 140 489 3094 
3110: 1386 2702 4053 
3111: 2432 2755 3730 
3112: 459 610 1288 
3113: 540 1723 1747 
3114: 1466 2940 3065 
3115: 3242 4232 4794 
3116: 4318 3391 3500 
3117: 824 981 2032 
3118: 836 2030 3584 
3119: 1204 1518 2195 
3120: 1123 2432 2786 
3121: 2426 2836 3502 
3122: 4624 3982 4145 
3123: 2699 3012 3851 
3124: 1314 1902 4580 
3125: 3571 4973 3282 
3126: 4239 3760 3150 
3127: 2518 3425 4826 
3128: 448 3409 4869 
3129: 3182 4130 3269 
3130: 244 2425 2699 
3131: 3620 3595 3479 
3132: 1807 1950 3780 
3133: 2019 4727 4487 
3134: 214 1481 2543 
3135: 452 4107 4906 
3136: 2932 3213 3693 
3137: 1108 1449 4616 
3138: 1411 2821 4730 
3139: 92 1112 2579 
3140: 963 3595 4676 
3141: 1765 3389 3435 
3142: 252 1825 2526 
3143: 4972 3886 3506 
3144: 1709 1862 4163 
3145: 1253 1490 4384 
3146: 159 221 2181 
3147: 784 2201 2939 
3148: 184 4245 4812 
3149: 2582 4720 4250 
3150: 230 3126 4982 
3151: 2378 3666 3375 
3152: 1549 3919 4628 
3153: 215 240 3021 
3154: 1526 1900 2923 
3155: 848 3705 3864 
3156: 177 220 757 
3157: 630 1334 2514 
3158: 974 2483 3368 
3159: 1249 4592 4310 
3160: 3499 3734 4824 
3161: 805 1076 1234 
3162: 2008 2622 3468 
3163: 2346 3925 3351 
3164: 1745 1814 4152 
3165: 368 1179 2664 
3166: 712 4765 3724 
3167: 2243 2357 2653 
3168: 762 1031 1916 
3169: 2232 2746 3413 
3170: 322 1080 1945 
3171: 1013 2194 4931 
3172: 560 2092 3675 
3173: 139 1791 3707 
3174: 2364 4563 4148 
3175: 275 542 648 
3176: 4970 4884 4593 
3177: 539 2544 2897 
3178: 940 2440 2662 
3179: 1008 1933 4870 
3180: 470 2667 3286 
3181: 2913 3769 4002 
3182: 980 1563 3129 
3183: 4473 3350 4364 
3184: 48 160 226 
3185: 1270 1496 2980 
3186: 1510 3632 4162 
3187: 668 679 687 
3188: 1739 2288 2603 
3189: 146 1799 3903 
3190: 296 1132 4912 
3191: 1953 2756 2864 
3192: 77 300 916 
3193: 1061 3106 4316 
3194: 305 419 1860 
3195: 1659 3650 4204 
3196: 161 3456 3620 
3197: 2249 4976 3702 
3198: 2095 4423 3483 
3199: 506 2060 3424 
3200: 552 2115 2138 
